"casWei","covEff","effSiz","e00","e01","e02","e10","e11","e12","e20","e21","e22"
2000,"e00","N",8,0,0,2,0,0,0,0,0
2000,"e10","S",6,2,0,2,0,0,0,0,0
2000,"e10","M",1,4,0,5,0,0,0,0,0
2000,"e10","L",0,3,0,6,1,0,0,0,0
2000,"e11","S",7,2,0,1,0,0,0,0,0
2000,"e11","M",7,0,0,0,3,0,0,0,0
2000,"e11","L",5,0,0,0,5,0,0,0,0
2000,"e20","S",9,1,0,0,0,0,0,0,0
2000,"e20","M",2,2,0,4,2,0,0,0,0
2000,"e20","L",0,3,0,0,7,0,0,0,0
2000,"e21","S",7,0,0,2,1,0,0,0,0
2000,"e21","M",1,3,0,6,0,0,0,0,0
2000,"e21","L",0,3,0,7,0,0,0,0,0
2000,"e22","S",9,0,0,1,0,0,0,0,0
2000,"e22","M",1,0,0,2,7,0,0,0,0
2000,"e22","L",0,1,0,0,9,0,0,0,0
20000,"e00","N",7,2,0,0,1,0,0,0,0
20000,"e10","L",0,0,0,7,3,0,0,0,0
20000,"e10","S",0,5,0,5,0,0,0,0,0
20000,"e10","M",0,1,0,7,2,0,0,0,0
20000,"e11","L",0,0,0,0,10,0,0,0,0
20000,"e11","S",8,1,0,0,1,0,0,0,0
20000,"e11","M",3,0,0,0,7,0,0,0,0
20000,"e20","L",0,0,1,0,4,0,4,1,0
20000,"e20","S",2,2,0,3,3,0,0,0,0
20000,"e20","M",0,0,1,0,8,0,1,0,0
20000,"e21","L",0,0,0,1,5,0,0,4,0
20000,"e21","S",1,4,0,4,1,0,0,0,0
20000,"e21","M",0,3,1,2,4,0,0,0,0
20000,"e22","L",0,0,0,0,9,0,0,1,0
20000,"e22","S",0,0,0,2,8,0,0,0,0
20000,"e22","M",0,0,0,0,10,0,0,0,0
