"casWei","covEff","effSiz","e00","e01","e02","e10","e11","e12","e20","e21","e22"
2000,"e00","N",10,0,0,0,0,0,0,0,0
2000,"e10","S",10,0,0,0,0,0,0,0,0
2000,"e10","M",9,0,0,1,0,0,0,0,0
2000,"e10","L",0,0,0,1,9,0,0,0,0
2000,"e11","S",10,0,0,0,0,0,0,0,0
2000,"e11","M",10,0,0,0,0,0,0,0,0
2000,"e11","L",10,0,0,0,0,0,0,0,0
2000,"e20","S",10,0,0,0,0,0,0,0,0
2000,"e20","M",10,0,0,0,0,0,0,0,0
2000,"e20","L",0,2,0,2,2,0,4,0,0
2000,"e21","S",10,0,0,0,0,0,0,0,0
2000,"e21","M",9,0,0,0,1,0,0,0,0
2000,"e21","L",0,1,0,1,8,0,0,0,0
2000,"e22","S",10,0,0,0,0,0,0,0,0
2000,"e22","M",10,0,0,0,0,0,0,0,0
2000,"e22","L",2,0,2,0,5,0,1,0,0
20000,"e00","N",10,0,0,0,0,0,0,0,0
20000,"e10","S",10,0,0,0,0,0,0,0,0
20000,"e10","M",0,0,0,0,10,0,0,0,0
20000,"e10","L",0,0,0,0,10,0,0,0,0
20000,"e11","S",10,0,0,0,0,0,0,0,0
20000,"e11","M",8,0,0,0,2,0,0,0,0
20000,"e11","L",1,0,0,0,9,0,0,0,0
20000,"e20","S",9,0,0,1,0,0,0,0,0
20000,"e20","M",0,1,1,0,7,0,1,0,0
20000,"e20","L",0,0,2,0,5,0,0,3,0
20000,"e21","S",9,0,0,1,0,0,0,0,0
20000,"e21","M",0,0,0,0,10,0,0,0,0
20000,"e21","L",0,0,0,0,10,0,0,0,0
20000,"e22","S",6,1,0,0,0,0,3,0,0
20000,"e22","M",0,0,1,0,8,0,0,1,0
20000,"e22","L",0,0,0,0,10,0,0,0,0
